LETO;DRZAVA;BDP_na_prebivalca
2008;Belgium;32840
2008;Bulgaria;4880
2008;Czechia;15540
2008;Denmark;43990
2008;Germany;31530
2008;Estonia;12430
2008;Ireland;41730
2008;Greece;21840
2008;Spain;24130
2008;France;30960
2008;Croatia;11130
2008;Italy;27640
2008;Cyprus;24170
2008;Latvia;11230
2008;Lithuania;10210
2008;Luxembourg;77940
2008;Hungary;10780
2008;Malta;15160
2008;Netherlands;39350
2008;Austria;35300
2008;Poland;9600
2008;Portugal;16960
2008;Romania;7140
2008;Slovenia;18760
2008;Slovakia;12230
2008;Finland;36560
2008;Sweden;38490
2008;United Kingdom;32280
2008;Iceland;34280
2008;Liechtenstein;NA
2008;Norway;66490
2008;Switzerland;50590
2008;Montenegro;5030
2008;North Macedonia;3310
2008;Albania;2990
2008;Serbia;4860
2008;Turkey;7400
2008;Kosovo;NA
2009;Belgium;32090
2009;Bulgaria;4930
2009;Czechia;14260
2009;Denmark;41880
2009;Germany;30390
2009;Estonia;10640
2009;Ireland;37400
2009;Greece;21390
2009;Spain;23060
2009;France;29930
2009;Croatia;10460
2009;Italy;26470
2009;Cyprus;23110
2009;Latvia;8800
2009;Lithuania;8500
2009;Luxembourg;74220
2009;Hungary;9420
2009;Malta;15180
2009;Netherlands;37800
2009;Austria;34530
2009;Poland;8240
2009;Portugal;16600
2009;Romania;6150
2009;Slovenia;17760
2009;Slovakia;11830
2009;Finland;34040
2009;Sweden;33840
2009;United Kingdom;27920
2009;Iceland;29530
2009;Liechtenstein;NA
2009;Norway;57620
2009;Switzerland;51710
2009;Montenegro;4840
2009;North Macedonia;3300
2009;Albania;2960
2009;Serbia;4440
2009;Turkey;6460
2009;Kosovo;NA
2010;Belgium;33330
2010;Bulgaria;5050
2010;Czechia;15020
2010;Denmark;43840
2010;Germany;31940
2010;Estonia;11150
2010;Ireland;36770
2010;Greece;20150
2010;Spain;23040
2010;France;30690
2010;Croatia;10520
2010;Italy;26930
2010;Cyprus;23400
2010;Latvia;8520
2010;Lithuania;9050
2010;Luxembourg;79160
2010;Hungary;9960
2010;Malta;16440
2010;Netherlands;38470
2010;Austria;35390
2010;Poland;9400
2010;Portugal;16990
2010;Romania;6200
2010;Slovenia;17750
2010;Slovakia;12560
2010;Finland;35080
2010;Sweden;39950
2010;United Kingdom;29830
2010;Iceland;32490
2010;Liechtenstein;NA
2010;Norway;66220
2010;Switzerland;58170
2010;Montenegro;5050
2010;North Macedonia;3460
2010;Albania;3090
2010;Serbia;4330
2010;Turkey;8000
2010;Kosovo;NA
2011;Belgium;34060
2011;Bulgaria;5620
2011;Czechia;15740
2011;Denmark;44500
2011;Germany;33550
2011;Estonia;12650
2011;Ireland;37340
2011;Greece;18310
2011;Spain;22760
2011;France;31510
2011;Croatia;10490
2011;Italy;27450
2011;Cyprus;23270
2011;Latvia;9870
2011;Lithuania;10340
2011;Luxembourg;83100
2011;Hungary;10230
2011;Malta;16630
2011;Netherlands;38960
2011;Austria;36970
2011;Poland;9860
2011;Portugal;16680
2011;Romania;6540
2011;Slovenia;18050
2011;Slovakia;13210
2011;Finland;36750
2011;Sweden;43690
2011;United Kingdom;30230
2011;Iceland;34130
2011;Liechtenstein;NA
2011;Norway;72350
2011;Switzerland;65750
2011;Montenegro;5270
2011;North Macedonia;3660
2011;Albania;3190
2011;Serbia;4900
2011;Turkey;8100
2011;Kosovo;NA
2012;Belgium;34770
2012;Bulgaria;5760
2012;Czechia;15470
2012;Denmark;45530
2012;Germany;34130
2012;Estonia;13620
2012;Ireland;38090
2012;Greece;17060
2012;Spain;22050
2012;France;31820
2012;Croatia;10310
2012;Italy;26920
2012;Cyprus;22500
2012;Latvia;10930
2012;Lithuania;11180
2012;Luxembourg;83000
2012;Hungary;10080
2012;Malta;17530
